site_id,site_name,county,aqi,pollutant,status,pm25,pm10,so2,no2,co,o3,wind_speed,wind_direction,data_time,latitude,longitude
71,復興,高雄市,118,細懸浮微粒,對敏感族群不健康,39.0,77.0,1.5,17.0,0.48,42.0,,,,22.608711,120.312017
72,埔里,南投縣,88,細懸浮微粒,普通,27.0,45.0,1.7,6.0,0.32,34.0,,,,23.968842,120.967903
75,馬祖,連江縣,43,,良好,,23.0,0.5,4.0,0.18,46.0,,,,26.153736,119.952724
77,金門,金門縣,80,細懸浮微粒,普通,16.0,23.0,,,,38.0,,,,24.432133,118.312256
78,馬公,澎湖縣,33,,良好,8.0,21.0,0.4,2.0,0.18,42.0,,,,23.569031,119.566158
80,關山,臺東縣,31,,良好,3.0,6.0,0.7,3.0,0.2,31.0,,,,23.045083,121.161933
83,麥寮,雲林縣,47,,良好,5.0,39.0,1.8,5.0,0.2,38.0,,,,23.753506,120.251825
84,富貴角,新北市,43,,良好,8.0,30.0,0.0,1.0,0.17,48.0,,,,25.29681695,121.53656894
85,大城,彰化縣,33,,良好,5.0,17.0,1.2,4.0,0.17,43.0,,,,23.85493056,120.26964167
88,臺灣大道,臺中市,60,細懸浮微粒,普通,12.0,28.0,1.6,19.0,0.47,29.0,,,,24.1589,120.6567111
139,員林,彰化縣,68,細懸浮微粒,普通,14.0,33.0,1.5,11.0,0.31,32.0,,,,23.9615945,120.5631893
140,林森,臺南市,98,細懸浮微粒,普通,23.0,36.0,1.9,11.0,0.44,36.0,,,,22.98522502,120.22216042
203,南投（鹿谷）,南投縣,75,細懸浮微粒,普通,11.0,27.0,1.4,3.0,0.2,36.0,,,,23.71867609,120.7944772
204,屏東（琉球）,屏東縣,117,細懸浮微粒,對敏感族群不健康,28.0,53.0,1.4,6.0,0.3,50.0,,,,22.35222,120.37722
311,新北（樹林）,新北市,47,,良好,19.0,24.0,1.8,15.0,0.32,32.0,,,,24.94902778,121.38352778
313,屏東（枋山）,屏東縣,59,懸浮微粒,普通,16.0,35.0,0.6,2.0,0.17,40.0,,,,22.260899,120.651472
